iter	Passed	Remaining
0	34	20910
1	64	19296
2	94	18863
3	124	18490
4	154	18390
5	185	18399
6	212	18014
7	241	17835
8	269	17686
9	297	17557
10	328	17566
11	357	17515
12	387	17510
13	417	17469
14	446	17425
15	476	17401
16	506	17375
17	534	17270
18	563	17222
19	591	17152
20	620	17111
21	649	17058
22	676	16968
23	705	16925
24	733	16880
25	762	16835
26	790	16773
27	819	16740
28	848	16715
29	878	16700
30	906	16642
31	935	16598
32	963	16546
33	990	16490
34	1018	16439
35	1045	16380
36	1073	16329
37	1102	16304
38	1124	16168
39	1147	16068
40	1176	16034
41	1204	16006
42	1234	15988
43	1262	15956
44	1290	15915
45	1318	15880
46	1347	15852
47	1375	15821
48	1404	15793
49	1431	15747
50	1458	15698
51	1487	15672
52	1515	15639
53	1543	15611
54	1572	15582
55	1600	15544
56	1628	15514
57	1656	15481
58	1684	15450
59	1712	15410
60	1738	15364
61	1766	15328
62	1795	15301
63	1823	15267
64	1851	15236
65	1880	15212
66	1907	15176
67	1934	15137
68	1962	15101
69	1990	15074
70	2018	15035
71	2047	15015
72	2075	14983
73	2101	14940
74	2129	14907
75	2157	14872
76	2185	14841
77	2214	14821
78	2243	14796
79	2271	14766
80	2297	14722
81	2325	14689
82	2353	14661
83	2381	14629
84	2408	14593
85	2436	14562
86	2465	14535
87	2493	14505
88	2521	14475
89	2548	14440
90	2575	14405
91	2602	14371
92	2630	14342
93	2657	14307
94	2685	14277
95	2711	14237
96	2737	14196
97	2764	14161
98	2791	14127
99	2818	14091
100	2842	14045
101	2869	14007
102	2898	13984
103	2922	13938
104	2951	13913
105	2979	13884
106	3005	13849
107	3032	13814
108	3059	13779
109	3087	13752
110	3117	13733
111	3143	13698
112	3170	13663
113	3197	13629
114	3224	13597
115	3251	13566
116	3278	13536
117	3305	13503
118	3332	13469
119	3358	13432
120	3380	13382
121	3406	13348
122	3433	13314
123	3459	13279
124	3485	13244
125	3511	13209
126	3536	13171
127	3562	13136
128	3592	13115
129	3620	13088
130	3647	13058
131	3675	13031
132	3700	12994
133	3726	12959
134	3754	12930
135	3781	12900
136	3808	12869
137	3833	12834
138	3859	12801
139	3887	12772
140	3913	12740
141	3940	12708
142	3968	12682
143	3994	12648
144	4019	12614
145	4048	12588
146	4076	12560
147	4101	12526
148	4128	12495
149	4155	12466
150	4182	12435
151	4207	12401
152	4236	12378
153	4263	12347
154	4291	12319
155	4316	12286
156	4344	12257
157	4372	12231
158	4398	12200
159	4426	12171
160	4452	12140
161	4480	12114
162	4509	12090
163	4535	12058
164	4561	12025
165	4587	11993
166	4614	11965
167	4642	11936
168	4669	11908
169	4694	11875
170	4716	11832
171	4731	11773
172	4744	11711
173	4777	11697
174	4793	11640
175	4819	11610
176	4839	11566
177	4854	11508
178	4867	11449
179	4899	11432
180	4917	11382
181	4930	11324
182	4943	11264
183	4972	11242
184	4988	11191
185	5001	11132
186	5014	11074
187	5042	11050
188	5058	11000
189	5073	10948
190	5104	10931
191	5120	10881
192	5135	10829
193	5149	10777
194	5178	10755
195	5195	10709
196	5209	10656
197	5238	10635
198	5253	10586
199	5266	10533
200	5279	10480
201	5308	10459
202	5324	10413
203	5337	10361
204	5350	10309
205	5364	10259
206	5394	10241
207	5411	10198
208	5424	10148
209	5437	10098
210	5468	10081
211	5484	10038
212	5498	9989
213	5527	9970
214	5544	9928
215	5558	9881
216	5570	9832
217	5599	9812
218	5617	9772
219	5629	9724
220	5642	9676
221	5673	9659
222	5689	9617
223	5702	9571
224	5732	9554
225	5750	9516
226	5767	9476
227	5796	9456
228	5813	9418
229	5830	9378
230	5858	9358
231	5875	9319
232	5888	9275
233	5917	9255
234	5933	9216
235	5947	9173
236	5962	9132
237	5990	9111
238	6006	9072
239	6020	9031
240	6045	9004
241	6058	8962
242	6071	8919
243	6084	8877
244	6098	8836
245	6130	8821
246	6148	8786
247	6161	8745
248	6174	8703
249	6203	8684
250	6219	8647
251	6233	8607
252	6263	8590
253	6279	8554
254	6292	8513
255	6305	8472
256	6336	8456
257	6352	8421
258	6366	8382
259	6398	8366
260	6414	8331
261	6426	8291
262	6438	8250
263	6469	8233
264	6486	8199
265	6500	8161
266	6530	8144
267	6547	8110
268	6560	8072
269	6574	8035
270	6603	8016
271	6619	7981
272	6632	7944
273	6665	7930
274	6683	7898
275	6697	7862
276	6712	7826
277	6724	7788
278	6737	7752
279	6750	7715
280	6779	7696
281	6796	7664
282	6809	7627
283	6823	7592
284	6860	7582
285	6884	7558
286	6900	7525
287	6918	7495
288	6946	7475
289	6968	7448
290	6985	7417
291	6998	7382
292	7011	7346
293	7025	7312
294	7054	7293
295	7071	7262
296	7084	7227
297	7096	7191
298	7127	7175
299	7143	7143
300	7157	7109
301	7188	7093
302	7208	7065
303	7222	7032
304	7234	6997
305	7265	6980
306	7282	6950
307	7296	6917
308	7308	6882
309	7337	6863
310	7355	6835
311	7369	6802
312	7382	6768
313	7413	6752
314	7430	6723
315	7443	6690
316	7456	6656
317	7486	6639
318	7503	6609
319	7516	6577
320	7529	6544
321	7559	6526
322	7575	6496
323	7588	6464
324	7600	6431
325	7631	6414
326	7648	6385
