iter	Passed	Remaining
0	52	26350
1	99	24660
2	143	23812
3	188	23369
4	233	23163
5	277	22820
6	319	22530
7	363	22372
8	406	22157
9	447	21951
10	488	21734
11	529	21543
12	570	21371
13	611	21233
14	653	21125
15	695	21029
16	739	21023
17	780	20903
18	823	20836
19	865	20764
20	905	20657
21	943	20508
22	983	20403
23	1023	20300
24	1063	20199
25	1103	20114
26	1142	20014
27	1181	19916
28	1220	19828
29	1260	19754
30	1301	19686
31	1340	19601
32	1379	19524
33	1419	19461
34	1458	19370
35	1496	19290
36	1535	19211
37	1572	19121
38	1612	19056
39	1652	19004
40	1691	18940
41	1731	18881
42	1770	18815
43	1808	18741
44	1847	18676
45	1886	18616
46	1925	18558
47	1967	18528
48	2007	18478
49	2053	18483
50	2098	18478
51	2143	18470
52	2191	18480
53	2243	18529
54	2308	18680
55	2372	18810
56	2436	18932
57	2503	19080
58	2562	19152
59	2619	19212
60	2675	19253
61	2730	19286
62	2781	19292
63	2838	19334
64	2890	19341
65	2935	19302
66	2985	19291
67	3040	19317
68	3089	19299
69	3135	19261
70	3185	19245
71	3234	19225
72	3279	19180
73	3320	19114
74	3362	19052
75	3404	18995
76	3447	18937
77	3487	18867
78	3527	18799
79	3567	18731
80	3610	18678
81	3651	18614
82	3693	18555
83	3733	18491
84	3773	18422
85	3818	18383
86	3862	18334
87	3903	18273
88	3947	18228
89	3991	18183
90	4034	18133
91	4080	18097
92	4123	18045
93	4167	18001
94	4213	17964
95	4256	17912
96	4298	17859
97	4338	17795
98	4381	17748
99	4423	17692
100	4463	17634
101	4505	17581
102	4546	17522
103	4588	17470
104	4630	17419
105	4672	17366
106	4713	17311
107	4753	17252
108	4815	17275
109	4863	17242
110	4903	17184
111	4943	17126
112	4985	17072
113	5027	17022
114	5068	16968
115	5107	16906
116	5147	16850
117	5185	16787
118	5225	16730
119	5264	16671
120	5303	16610
121	5342	16552
122	5383	16499
123	5421	16439
124	5460	16382
125	5499	16323
126	5538	16267
127	5577	16210
128	5617	16156
129	5657	16101
130	5702	16061
131	5750	16032
132	5801	16007
133	5870	16034
134	5927	16025
135	5973	15986
136	6019	15950
137	6068	15917
138	6114	15879
139	6159	15839
140	6201	15788
141	6244	15742
142	6287	15697
143	6328	15645
144	6368	15591
145	6410	15542
146	6452	15495
147	6494	15446
148	6535	15395
149	6576	15345
150	6616	15292
151	6656	15239
152	6695	15184
153	6733	15129
154	6773	15076
155	6812	15022
156	6851	14969
157	6891	14916
158	6930	14862
159	6968	14809
160	7008	14757
161	7106	14827
162	7160	14804
163	7193	14738
164	7225	14670
165	7258	14605
166	7292	14541
167	7327	14481
168	7362	14420
169	7397	14359
170	7434	14304
171	7470	14246
172	7506	14188
173	7541	14130
174	7579	14076
175	7616	14021
176	7653	13966
177	7690	13911
178	7728	13858
179	7775	13823
180	7814	13772
181	7852	13720
182	7890	13668
183	7929	13618
184	7967	13565
185	8006	13516
186	8045	13466
187	8083	13415
188	8122	13366
189	8161	13315
190	8200	13266
191	8239	13217
192	8278	13167
193	8316	13117
194	8355	13069
195	8394	13020
196	8432	12969
197	8470	12919
198	8510	12873
199	8549	12823
200	8588	12775
201	8626	12726
202	8665	12678
203	8704	12629
204	8747	12587
205	8786	12540
206	8827	12494
207	8868	12449
208	8909	12404
209	8949	12358
210	8990	12313
211	9030	12267
212	9072	12223
213	9113	12180
214	9155	12136
215	9199	12095
216	9242	12053
217	9283	12009
218	9325	11964
219	9366	11921
220	9408	11878
221	9449	11832
222	9493	11791
223	9533	11746
224	9571	11698
225	9611	11652
226	9649	11604
227	9689	11559
228	9729	11514
229	9770	11470
230	9815	11429
231	9858	11387
232	9898	11343
233	9940	11299
234	9978	11252
235	10017	11206
236	10057	11160
237	10097	11115
238	10135	11068
239	10174	11022
240	10215	10978
241	10254	10932
242	10293	10886
243	10332	10840
244	10373	10796
245	10411	10750
246	10450	10704
247	10491	10660
248	10529	10614
249	10568	10568
250	10607	10522
251	10646	10477
252	10684	10431
253	10734	10396
254	10793	10370
255	10853	10344
256	10909	10315
257	10969	10289
258	11029	10263
259	11088	10235
260	11146	10207
261	11205	10179
262	11264	10150
263	11323	10122
264	11383	10095
265	11441	10064
266	11499	10034
267	11557	10005
268	11620	9979
269	11680	9949
270	11738	9919
271	11796	9888
272	11853	9856
273	11914	9827
274	11970	9794
275	12025	9759
276	12065	9713
277	12113	9673
278	12169	9639
279	12216	9599
280	12268	9561
281	12323	9526
282	12381	9494
283	12434	9457
284	12491	9423
285	12551	9391
286	12610	9359
287	12669	9326
288	12726	9291
289	12785	9258
290	12856	9233
291	12895	9186
292	12934	9137
293	12975	9091
294	13016	9045
295	13048	8993
296	13080	8940
297	13114	8890
298	13176	8857
299	13221	8814
300	13272	8774
301	13320	8733
302	13364	8689
303	13396	8636
304	13437	8591
305	13478	8545
306	13528	8505
307	13564	8455
308	13605	8409
309	13639	8359
310	13674	8310
311	13723	8268
312	13757	8219
313	13794	8171
314	13836	8126
315	13875	8079
316	13916	8033
317	13960	7989
318	14004	7946
319	14054	7905
320	14105	7865
321	14153	7824
322	14201	7782
323	14252	7742
324	14302	7701
325	14351	7660
326	14403	7620
327	14453	7579
328	14505	7539
329	14553	7497
330	14601	7455
331	14653	7415
332	14706	7375
333	14755	7333
334	14808	7293
335	14868	7257
336	14927	7220
337	14984	7181
338	15044	7145
339	15102	7106
340	15184	7080
341	15229	7035
342	15278	6993
343	15329	6951
344	15385	6912
345	15440	6872
346	15497	6833
347	15561	6797
348	15604	6751
349	15655	6709
350	15701	6665
351	15748	6621
352	15803	6581
353	15863	6542
354	15920	6502
355	15978	6463
356	16034	6422
357	16091	6382
358	16150	6343
359	16208	6303
360	16265	6262
361	16321	6221
362	16380	6182
363	16437	6141
364	16541	6117
365	16604	6079
366	16663	6038
367	16720	5997
368	16776	5955
369	16836	5915
370	16897	5875
371	16954	5833
372	17012	5792
373	17066	5749
374	17125	5708
375	17174	5663
376	17207	5614
377	17259	5570
378	17314	5527
379	17354	5480
380	17393	5432
381	17427	5383
382	17461	5334
383	17495	5285
384	17528	5235
385	17582	5192
386	17641	5151
387	17694	5107
388	17746	5063
389	17806	5022
390	17864	4980
391	17921	4937
392	17977	4894
393	18035	4852
394	18088	4808
395	18147	4765
396	18208	4724
397	18267	4681
398	18325	4638
399	18382	4595
400	18439	4552
401	18495	4508
402	18555	4466
403	18612	4422
404	18673	4380
405	18731	4336
406	18789	4293
407	18847	4249
408	18906	4206
409	18963	4162
410	19020	4118
411	19079	4075
412	19139	4031
413	19198	3988
414	19255	3943
415	19313	3899
416	19370	3855
417	19429	3811
418	19487	3767
419	19544	3722
420	19604	3678
421	19661	3634
422	19718	3589
423	19770	3543
424	19814	3496
425	19870	3451
426	19928	3406
427	19985	3362
428	20045	3317
429	20102	3272
430	20163	3228
431	20206	3180
432	20243	3132
433	20279	3083
434	20333	3038
435	20386	2992
436	20445	2947
437	20505	2902
438	20563	2857
439	20623	2812
440	20678	2766
441	20735	2720
442	20795	2675
443	20851	2629
444	20911	2584
445	20971	2539
446	21027	2493
447	21086	2447
448	21144	2401
449	21197	2355
450	21244	2308
451	21280	2259
452	21334	2213
453	21381	2166
454	21439	2120
455	21495	2074
456	21551	2027
457	21604	1981
